TIPO DE INFORMAÇÃO,PERGUNTA,RESPOSTA
LINKS IMPORTANTES,Link do Checkout,https://pay.hotmart.com/K94483735E?off=npg5guia&checkoutMode=10&offDiscount=PROMORELAMPAGOJUNHO2025
LINKS IMPORTANTES,Link da Landing Page,https://cursoexpress.victormolin.com.br/
LINKS IMPORTANTES,Link do Trailer,https://www.youtube.com/watch?v=U2w3SEO7Suo
FAQ,Esse curso é confiável mesmo ou é golpe? 😬,"Pode ficar tranquilo(a)! O curso é 100% confiável, criado por Victor Molin, especialista em audiovisual com iPhone. Você ainda tem 30 dias de garantia! 📸✨"
FAQ,Por que está com 50% de desconto? 🤔,Essa é uma oferta de lançamento! Queremos que mais pessoas conheçam nosso trabalho e vejam o poder do iPhone na fotografia. Aproveita enquanto tá no ar! 🔥
FAQ,Funciona pra qualquer modelo de iPhone?,"Sim! As aulas são feitas para funcionar do iPhone 8 em diante. Mas quanto mais novo o modelo, mais recursos você vai conseguir explorar. 📱💡"
FAQ,É pra quem nunca fotografou antes?,Sim! O curso é perfeito pra quem tá começando e quer aprender de forma simples e rápida. Tudo explicado sem enrolação! 😉
FAQ,Qual a duração total do curso? ⏱️,"O curso tem aproximadamente 1h30 de conteúdo, dividido em aulas curtinhas e práticas. Ideal pra encaixar na rotina! 🎯"
FAQ,Vou conseguir aplicar tudo mesmo sendo leigo?,"Com certeza! As aulas são diretas ao ponto e pensadas pra quem quer aprender na prática, sem termos complicados. 💪"
FAQ,Posso assistir quando quiser?,"Sim! O acesso é imediato e você pode ver as aulas no seu tempo, quantas vezes quiser. É seu pra sempre! 🎥📲"
FAQ,Tem certificado de conclusão? 🎓,"No momento, o foco do curso é no aprendizado prático. Mas em breve teremos novidades! 😉"
FAQ,Posso pagar por Pix ou cartão?,"Sim! Aceitamos Pix, cartão de crédito e até boleto. Tudo de forma segura e prática. 💳✨"
FAQ,E se eu não gostar do curso?,"Você tem 30 dias de garantia. Se não curtir, é só pedir o reembolso. Simples assim! 😌"
OFERTA,Qual é o preço do curso?,"O curso tá com 50% de desconto no lançamento! De R$197 por R$97. E com 30 dias de garantia, então pode testar sem medo."
OFERTA,O desconto é por tempo limitado?,Sim! É uma condição especial de lançamento. Depois o valor volta ao normal.
OFERTA,Como funciona a garantia?,"Você tem 30 dias pra testar. Se não curtir, é só pedir reembolso. Sem burocracia."
OFERTA,Tem bônus incluído?,Sim! Tem aulas bônus e conteúdos extras pra te ajudar a evoluir ainda mais nas fotos.
CONTEÚDO PROGRAMÁTICO,O que eu vou aprender no curso?,"Você vai aprender a usar o iPhone de verdade: modo retrato, burst, live photo, longa exposição e muito mais. Tudo de forma simples e prática."
CONTEÚDO PROGRAMÁTICO,Tem aula sobre como fotografar o nascer do sol?,"Tem sim! Tem aula exclusiva sobre isso, com dicas de luz, ângulo e tudo que uso nos meus cliques."
CONTEÚDO PROGRAMÁTICO,Vou aprender a tirar foto de criança e pet em movimento?,Vai sim! Tem aula específica mostrando como usar a função Burst pra capturar esses momentos.
CONTEÚDO PROGRAMÁTICO,Tem aula sobre fotografar à noite?,Sim! Mostro como fotografar as estrelas e usar a longa exposição no iPhone do jeito certo.
BENEFÍCIOS,Esse curso serve pra quem não tem tempo?,"Serve demais! As aulas são curtas, objetivas e você assiste no seu ritmo."
BENEFÍCIOS,É indicado pra quem nunca estudou fotografia?,"Sim! O curso foi feito justamente pra isso. É simples e direto, sem enrolação técnica."
BENEFÍCIOS,Consigo aplicar o que aprendi no meu dia a dia?,"Com certeza! O curso é todo baseado em situações reais, tipo viagem, dia a dia em casa, rolê com amigos..."
BENEFÍCIOS,Ajuda a melhorar meu conteúdo no Instagram?,Ajuda e muito! Inclusive tem aula que mostro como criar stories e vídeos com visual mais cinematográfico.
OBJEÇÕES,"Já fiz outros cursos e não consegui aprender, esse é diferente?","Esse aqui é diferente mesmo. É direto ao ponto, focado em iPhone e com linguagem simples. Você vai ver resultado logo nas primeiras aulas."
OBJEÇÕES,"Não sou criativo, será que vou conseguir?","A criatividade vem quando você aprende a ferramenta certa. Depois das aulas, você vai ter ideias novas até demais!"
OBJEÇÕES,Tenho medo de comprar e não ser bom pra mim...,"Relaxa! Testa. Se não curtir, é só pedir o reembolso. Sem estresse."
GARANTIA,Quem eu procuro se tiver problema no acesso?,Pode falar direto comigo ou com a equipe pelo suporte. A gente resolve rapidinho.
GARANTIA,"Se eu perder a senha, consigo recuperar?","Consegue sim. Tem opção de recuperar na plataforma e, se não der certo, me chama que eu te ajudo."
TRANSFORMAÇÃO,Vou conseguir melhorar minhas fotos mesmo com pouca luz?,Vai sim! Mostro como lidar com luz baixa e como aproveitar ao máximo o que o iPhone oferece.
TRANSFORMAÇÃO,O curso pode me ajudar a registrar momentos em família?,Demais! Esse é um dos focos principais: transformar momentos simples em memórias incríveis.
TRANSFORMAÇÃO,Vai mudar meu jeito de fotografar?,"Vai. Depois que entender como compor, usar as lentes e explorar os modos certos, você nunca mais vai fotografar igual."
FAQ,O curso é 100% online?,"Sim, tudo online. Você faz no seu tempo, de onde quiser."
FAQ,Quantas aulas tem?,"São 10 aulas principais, mais bate-papos e bônus. Tudo bem completo e direto."
FAQ,Posso assistir pelo celular?,"Sim! Inclusive recomendo assistir pelo próprio iPhone, assim já aplica na hora."
FAQ,Precisa instalar algum app?,Não. Todas as técnicas são com o app padrão da câmera do iPhone.
FAQ,Consigo ver as aulas na TV?,"Se sua TV tiver navegador ou se usar Apple TV/Chromecast, dá sim."
FAQ,É só pra quem quer trabalhar com fotografia?,"Nada disso. Serve pra qualquer pessoa que queira tirar fotos melhores, mesmo que só por hobby."
FAQ,É indicado pra terceira idade?,"Claro! Já tivemos alunos de todas as idades. As aulas são leves, tranquilas de acompanhar."
FAQ,Preciso ter experiência com câmera?,"Não precisa. O curso começa do básico e te leva até técnicas mais avançadas, sempre de forma simples."
OFERTA,Vai ter outro curso depois desse?,"Sim! Esse é o primeiro passo. Quem faz esse curso já entra com desconto pro próximo, que é mais avançado."
OFERTA,O preço pode subir em breve?,"Pode sim. Essa oferta de lançamento tá por tempo limitado, então se puder garantir agora, melhor."
OFERTA,O curso vale mesmo esse investimento?,Com certeza. Você vai aprender técnicas que muita gente leva anos pra descobrir — e usando só o iPhone!
CONTEÚDO PROGRAMÁTICO,Tem aula sobre modo cinema?,Tem sim! Mostro como criar vídeos com aquele look cinematográfico que chama atenção.
CONTEÚDO PROGRAMÁTICO,Ensina a usar o modo retrato?,Ensino do básico ao avançado. Inclusive como usar pra fazer retratos lindos e selfies com fundo desfocado.
CONTEÚDO PROGRAMÁTICO,Fala sobre composição?,Falo sim. Mostro como posicionar elementos na imagem pra criar fotos com mais impacto.
CONTEÚDO PROGRAMÁTICO,Tem alguma aula só com conversa?,"Tem alguns bate-papos ao longo do curso, onde compartilho histórias e bastidores que ajudam a inspirar e refletir."
CONTEÚDO PROGRAMÁTICO,Fala sobre luz e enquadramento?,Sim! Falo bastante sobre isso porque é o que transforma uma foto comum em algo especial.
BENEFÍCIOS,Vou conseguir aplicar mesmo sem ter talento?,Sim! O curso é justamente pra destravar esse lado criativo. É só seguir o passo a passo.
BENEFÍCIOS,Serve pra quem viaja muito?,"Serve demais! Tem aulas específicas pra fotografar paisagens, nascer do sol, céu estrelado..."
BENEFÍCIOS,Consigo começar a fotografar melhor logo de cara?,Já nas primeiras aulas você vai notar diferença nas suas fotos.
BENEFÍCIOS,Dá pra aprender mesmo sem ter tempo?,"Dá sim. As aulas são super curtas, e você pode assistir quando quiser."
OBJEÇÕES,E se eu não conseguir aplicar o que aprendi?,"Tô sempre por perto no suporte e na comunidade. E o curso é bem prático, você já aplica na hora."
OBJEÇÕES,"Eu nunca gostei de curso online, será que esse funciona pra mim?","Esse aqui é diferente. É leve, direto, sem enrolação. Parece que estamos conversando mesmo."
OBJEÇÕES,"Não sou bom com tecnologia, vou conseguir acompanhar?","Vai sim! As aulas são feitas pra qualquer pessoa, independente do nível."
OBJEÇÕES,"Não gosto de aparecer, o curso ajuda mesmo assim?","Sim! Fotografia é sobre olhar, composição, emoção... Você nem precisa aparecer se não quiser."
GARANTIA,A garantia cobre tudo mesmo?,"Sim. Se não curtir por qualquer motivo, é só pedir o reembolso dentro de 30 dias."
GARANTIA,Como acesso o curso depois da compra?,"Assim que confirma o pagamento, você recebe um e-mail com o link de acesso."
GARANTIA,Por quanto tempo tenho acesso?,Acesso vitalício! Pode assistir quando e quantas vezes quiser.
TRANSFORMAÇÃO,O curso ajuda a transformar meu olhar pra fotografia?,Sim! Você vai começar a enxergar beleza nos detalhes e contar histórias com suas fotos.
TRANSFORMAÇÃO,Consigo fazer fotos que emocionam?,Consegue. É isso que ensino: capturar sentimento e presença de verdade.
TRANSFORMAÇÃO,Posso usar esse conhecimento em vídeos também?,Pode sim. Muitos princípios de luz e composição valem pra vídeo também.
TRANSFORMAÇÃO,Depois do curso vou saber o que fazer em qualquer situação?,Você vai estar muito mais preparado. O curso te dá base pra decidir bem em cada momento.
FAQ,Tenho que fazer alguma prova no final?,"Não! O curso é livre, sem provas. É pra você curtir o processo."
FAQ,Quantas vezes posso assistir?,"Quantas quiser! É tudo seu, pra sempre."
FAQ,Preciso ter o último modelo de iPhone?,Não. A maioria dos recursos funciona bem do iPhone 8 pra frente.
FAQ,Funciona com iPhone SE?,"Funciona sim! Pode ter menos funções que os modelos mais novos, mas dá pra aplicar boa parte do que ensino."
FAQ,Posso assistir em qualquer lugar?,Sim! É só ter internet e seu iPhone por perto.
FAQ,Tenho que baixar algum material?,Não precisa. Tudo é explicado em vídeo de forma prática.
FAQ,Tem algum grupo de alunos?,"Tem sim. Depois de entrar, você recebe o convite pra comunidade."
FAQ,Recebo alguma atualização?,"Sempre que tiver algo novo, quem já é aluno recebe primeiro."
FAQ,Preciso comprar algum acessório?,Não! Só seu iPhone já é mais do que suficiente.
FAQ,Tem aula de edição?,"Nesse curso o foco é fotografia na hora do clique, mas já já vem novidade sobre edição 😉"
FAQ,Quanto tempo demoro pra ver resultado?,Tem gente que já manda foto linda depois da primeira aula. É só praticar!
FAQ,Serve pra quem quer fazer fotos melhores dos filhos?,Serve demais! Mostro técnicas pra capturar esses momentos com mais emoção.
FAQ,O curso é só pra foto ou também pra vídeo?,"É focado em foto, mas tem aula sobre o modo cinema que ajuda muito nos vídeos."
FAQ,Consigo usar o que aprendi em eventos ou casamentos?,Sim! As técnicas servem pra todo tipo de momento especial.
FAQ,É muito conteúdo? Fico perdido?,"Nada disso. É tudo passo a passo, na ordem certa, bem leve de acompanhar."
OBJEÇÕES,Não tenho tempo pra estudar agora...,"Por isso que o curso é express! As aulas são bem curtinhas e você assiste no seu ritmo, quando quiser."
OBJEÇÕES,"Já vi conteúdo gratuito parecido, por que pagar?","No gratuito ninguém te ensina com esse cuidado. Aqui é direto ao ponto, organizado, com minha experiência e visão pessoal."
OBJEÇÕES,Tenho medo de ser mais um curso parado na gaveta,"Te entendo. Por isso fiz ele bem leve, rápido e com impacto imediato. É aquele curso que você termina com vontade de sair clicando tudo!"
TRANSFORMAÇÃO,Consigo vender fotos depois desse curso?,"Se você praticar e tiver olhar criativo, com certeza pode começar a explorar isso como fonte de renda."
TRANSFORMAÇÃO,Vou parar de errar fotos em momentos importantes?,"Sim! Você vai entender o tempo da câmera, o melhor jeito de fotografar cada situação. Vai errar muito menos."
TRANSFORMAÇÃO,Vou me sentir mais seguro pra usar o iPhone em viagens?,"Demais! Você vai saber exatamente como se posicionar, que configuração usar e quando aproveitar cada recurso."
BENEFÍCIOS,O curso pode me ajudar no meu negócio?,"Se você usa imagem pra se comunicar — seja vendendo produto, serviço ou marca pessoal — ele ajuda demais!"
BENEFÍCIOS,Melhora minhas fotos pra vender online?,Com certeza! Uma boa foto vende sozinha. E vou te mostrar como criar essas imagens direto no iPhone.
BENEFÍCIOS,Vou me sentir mais criativo depois do curso?,Sim! A proposta é essa: destravar seu olhar e mostrar que dá pra criar coisa linda com o que já tem na mão.
FAQ,O curso é atualizado com o tempo?,"Sim! Sempre que surgem novidades ou novas funções no iPhone, eu atualizo ou aviso por lá."
FAQ,Tem alguma aula ao vivo?,"Esse curso é gravado, mas sempre fico de olho na comunidade pra responder e trazer novidade."
FAQ,Serve pra Android também?,"Esse curso é focado em iPhone, porque a lógica, os recursos e até os menus são diferentes."
FAQ,Tem algum pré-requisito pra fazer o curso?,Nenhum. Só vontade de aprender e um iPhone na mão.
FAQ,Tenho um iPhone antigo. Consigo aplicar o que for possível?,"Sim! E se tiver alguma limitação específica do seu modelo, posso te ajudar a adaptar."
FAQ,Posso indicar pra um amigo?,"Claro! Se ele curtir fotografia e quiser aprender com o iPhone, vai adorar."
FAQ,Tem desconto pra mais de uma pessoa?,"Hoje a oferta é individual, mas se forem muitas pessoas, me chama que a gente vê algo."
CONTEÚDO PROGRAMÁTICO,Você fala sobre storytelling?,Falo sim! Principalmente sobre como contar histórias com uma sequência de fotos.
CONTEÚDO PROGRAMÁTICO,Tem conteúdo sobre bastidores?,"Tem vários bate-papos onde compartilho bastidores, ideias e histórias que inspiram."
CONTEÚDO PROGRAMÁTICO,"O curso ensina a fotografar retrato, paisagem e movimento?",Sim! Essas são as principais situações que a gente explora nas aulas.
CONTEÚDO PROGRAMÁTICO,Tem alguma sequência ideal de aulas?,"Sim, as aulas já estão organizadas numa ordem que facilita o aprendizado."
CONTEÚDO PROGRAMÁTICO,Aprendo a editar no próprio iPhone?,Esse curso é focado no clique. Mas logo vem um conteúdo só de edição também! 😉
FAQ,"Quero muito fazer, mas tô sem tempo agora. Vale a pena garantir?","Vale sim! O acesso é vitalício, você compra agora no preço promocional e faz quando quiser."
OFERTA,"Se eu comprar hoje, começo quando?","Assim que o pagamento for confirmado, você já recebe o acesso e pode começar na hora."